AmbTemp_C_Avg,WindSpeedAve_ms,WindDirAve_deg,PwrMtrP_kW_Avg,RTD_C_Avg_Mean,Minute
3.741,0.467,152.0,0.0,2.6556,319
3.724,0.855,163.0,0.0,2.6396,320
3.705,0.687,160.5,0.0,2.6288,321
3.58,0.782,159.5,0.0,2.6279999999999997,322
3.65,0.543,154.2,0.0,2.6403,323
3.694,0.637,166.6,0.0,2.6465000000000005,324
3.773,0.36,148.9,0.0,2.6561999999999997,325
3.778,0.472,173.0,0.0,2.6512000000000002,326
3.846,0.658,177.8,0.0,2.6399999999999997,327
3.846,0.52,169.4,0.0,2.6555,328
3.865,0.59,147.8,0.0,2.6452999999999998,329
3.766,0.452,147.9,0.0,2.6382,330
3.747,0.725,162.4,0.0,2.6284,331
3.677,0.86,176.9,0.0,2.6296,332
3.744,0.675,180.8,0.0,2.6254,333
3.841,0.635,185.5,0.0,2.6353999999999997,334
3.853,0.655,180.4,0.0,2.6460999999999997,335
3.844,0.642,190.2,0.0,2.6691000000000003,336
4.005,0.803,179.0,0.0,2.6989000000000005,337
3.986,0.868,188.0,0.0,2.7100999999999997,338
4.056,0.662,202.2,0.0,2.7592,339
4.027,0.678,189.7,0.0,2.7763,340
4.09,0.678,190.0,0.0,2.7944000000000004,341
4.075,0.912,195.8,0.0,2.8433,342
4.079,0.697,187.1,0.0,2.8607,343
4.085,0.805,191.0,0.0,2.8759,344
4.069,1.0606782861292665,0.0,0.0,2.8843000000000005,345
4.061,0.673,179.3,0.0,2.8632,346
4.038,0.617,189.6,0.0,2.8615000000000004,347
4.021,0.563,200.7,0.0,2.8649999999999993,348
4.111,0.883,195.7,0.0,2.8728,349
4.107,0.827,199.8,0.0,2.9086000000000007,350
4.114,0.95,203.3,0.0,2.9516,351
4.124,0.842,192.9,0.0,2.9833,352
4.128,0.743,190.1,0.0,3.0322000000000005,353
4.191,1.2,198.0,0.0,3.057200000000001,354
4.323,0.797,205.6,0.0,3.0882,355
4.373,1.172,197.5,0.0,3.1348999999999996,356
4.411,0.777,185.9,0.0,3.1658,357
4.369,0.903,210.0,0.0,3.2104,358
4.393,0.82,204.8,0.0,3.2354999999999996,359
4.374,0.858,188.9,0.0,3.2687,360
4.381,0.943,198.7,0.0,3.2913999999999994,361
4.388,0.68,167.8,0.0,3.3202,362
4.449,0.945,191.4,0.0,3.3350999999999997,363
4.437,0.698,197.1,0.0,3.3591,364
4.411,1.067,195.9,0.0,3.3718999999999992,365
4.411,0.96,194.4,0.0,3.3983,366
4.414,0.855,166.2,0.0,3.3979,367
4.414,0.613,157.0,0.0,3.4018,368
4.383,0.707,161.7,0.0,3.403,369
4.36,0.635,180.6,0.0,3.3982,370
4.334,0.878,169.5,0.0,3.3989,371
4.391,0.613,176.0,0.0,3.3979999999999997,372
4.39,0.577,171.0,0.0,3.403,373
4.36,0.393,205.4,0.0,3.4084000000000003,374
4.366,0.498,175.7,0.0,3.4118000000000004,375
4.353,0.327,146.5,0.0,3.4107999999999996,376
4.37,0.552,191.6,0.0,3.4118000000000004,377
4.483,0.605,191.3,0.0,3.4126999999999996,378
4.449,0.322,188.8,0.0,3.4329,379
4.389,0.337,167.0,0.0,3.4261000000000004,380
4.398,0.675,171.7,0.0,3.4326999999999996,381
4.354,0.497,185.3,0.0,3.4550000000000005,382
4.328,0.685,192.0,0.0,3.4657000000000004,383
4.404,0.852,206.8,0.0,3.4918,384
4.435,1.117,213.8,0.0,3.5131,385
4.469,0.94,205.9,0.0,3.5307000000000004,386
