AmbTemp_C_Avg,WindSpeedAve_ms,WindDirAve_deg,PwrMtrP_kW_Avg,RTD_C_Avg_Mean,Minute
9.94,1.29,5.275,164.0,24.259,741
9.91,1.685,317.5,173.3,24.767000000000003,730
3.839,0.442,157.4,0.0,3.061000000000001,424
5.954,1.46,8.73,44.11,9.306000000000001,553
10.21,3.447,313.1,104.2,20.765,823
4.819,0.615,197.1,0.0,1.9908000000000001,1274
5.541,0.382,63.81,0.0,1.9834,1169
5.731,0.285,109.7,0.0,1.7899999999999998,1155
4.074,0.488,237.8,0.0,0.07109999999999994,227
10.75,0.945,1.877,76.27,18.757,889
10.3,2.257,306.9,198.0,25.424,745
6.323,0.518,82.4,0.0,5.9822,1431
6.323,0.617,69.78,0.0,2.4747999999999997,1092
6.405,1.567,237.7,0.0,5.242699999999999,66
10.51,1.16,351.8,16.42,13.190999999999997,967
7.11,1.305,4.446,86.3,13.423000000000002,579
6.294,0.435,100.6,0.0,6.0119,1434
4.468,0.432,201.1,0.0,0.09199999999999994,211
10.92,1.002,292.7,56.01,16.532,949
6.072,0.342,90.4,0.0,5.7782,1357
5.973,0.908,314.9,32.23,8.261700000000001,536
4.711,0.332,186.0,0.0,2.3691000000000004,1280
7.284,0.523,14.05,0.0,4.0216,1046
5.971,1.598,218.5,0.0,3.7965000000000004,85
5.014,0.347,203.8,0.0,3.6225,1296
10.93,0.187,277.0,46.36,18.166,943
10.47,2.423,311.3,155.0,23.505000000000003,844
10.96,1.15,307.8,94.0,18.745,932
6.325,0.308,331.6,0.0,5.8766,1392
10.58,0.85,357.5,29.64,13.600999999999999,963
6.187,0.328,68.41,0.0,5.6735,1345
10.84,0.972,239.0,55.18,16.610999999999997,918
4.901,0.875,260.7,0.0,3.5814999999999997,273
9.13,2.458,332.4,116.9,17.349,665
4.388,0.68,167.8,0.0,3.3202,362
6.751,2.162,213.2,0.0,6.0463000000000005,2
6.759,1.0606782861292665,0.0,0.0,6.0024,6
4.327,0.628,156.0,0.0,3.0774,311
7.873,2.19,335.2,56.45,12.548000000000002,613
10.74,2.145,304.0,137.5,22.922,865
6.313,0.17,98.3,0.0,5.9354,1420
4.346,1.21,197.0,0.0,0.10769999999999999,215
4.647,0.298,208.9,0.0,2.1359000000000004,1277
6.604,1.553,233.8,0.0,5.701700000000001,27
7.474,0.435,319.1,0.0,4.181,1042
10.44,1.968,319.2,163.2,23.974999999999998,798
